N�;Localite;Longitude;Latitude;Prof_Tle;Debit
292;NAKI-EST;"00°23'0""E";"10°43'4""";75,6;0,492
293;DJAMOTIGA;"00°24'0""E";"10°42'0""";;
294;NANYIBE;"00°23'3""E";"10°41'5""";89,51;2,333
295;NANYIBE;"00°23'0""E";"10°42'1""";79,8;2,527
296;NANISSOGUE;"00°24'0""E";"10°42'0""";70;0,847
297;MAMIDI-BAGOU;"00°23'3""E";"10°43'3""";52,7;
298;SAWAGA II;"00°24'0""E";"10°43'4""";;
299;KONANGOU;"00°27'2""E";"10°45'4""";92,13;1,7
300;SOTOCO;"00°30'2""E";"10°44'1""";;
301;NATONGOU I;"00°36'0""E";"10°46'2""";;
302;NATCHAMBONGA;"00°38'2""E";"10°50'0""";;
303;NATCHAMBONGA;"00°38'5""E";"10°49'1""";;
304;DJAPORE;"00°37'0""E";"10°54'1""";;
305;TCHIMOURI;"00°33'1""E";"10°56'2""";;
306;BANANGANDI;"00°33'1""E";"10°57'2""";;
307;SASSIEGA;"00°46'5""E";"10°52'3""";91,79;0,8
308;KPANDIMAGOU;"00°48'5""E";"10°51'0""";;
309;ZONGO;"00°49'0""E";"10°50'5""";;0,83
310;TOLONGOU  I;"00°48'5""E";"10°51'1""";55,05;3
311;BOULDJOARE;"00°40'1""E";"10°49'5""";;
312;SAGOU;"00°40'1""E";"10°49'5""";;
313;NALIANBAGA;"00°31'4""E";"10°45'2""";;
314;OPENGOU;"00°25'2""E";"10°44'2""";99,8;0,63
315;KANKANPIENI;"00°23'0""E";"10°49'1""";140;0,8
316;NATARE;"00°25'0""E";"10°48'4""";78,42;0,492
317;NAMBONGA;"00°25'0""E";"10°50'2""";;
318;TCHIAMONGA;"00°23'1""E";"10°51'2""";;
319;KOUAMPANTE;"00°24'5""E";"11°01'2""";;
320;DJAMOTIGA;"00°23'3""E";"10°42'2""";37;1,4
321;GABOUNOU;"00°26'0""E";"10°43'2""";70;1,8
322;ZONGO;"00°38'4""E";"10°56'3""";;
323;GALE;"00°23'2""E";"10°50'2""";;
324;NALOUATE;"00°22'1""E";"10°55'0""";;
325;DIGBANGBANGANGOU;"00°21'5""E";"10°54'2""";;
326;ZONGO;"00°26'1""E";"10°57'1""";;
327;KOMPIT-BONG;"00°22'5""E";"10°56'1""";;
328;KPEMBONA;"00°24'4""E";"10°57'5""";;
329;NAMOUNDJOGA;"00°23'4""E";"10°53'4""";32,65;8,2
330;NASSAGOU;"00°24'1""E";"10°52'5""";40;9
331;DJOAMON;"00°26'1""E";"10°43'1""";76,09;7,609
332;BOMBENGOU;"00°30'5""E";"10°44'1""";49;15
333;GALE;"00°23'3""E";"10°50'1""";97,7;0,9
334;GALE;"00°23'0""E";"10°50'1""";48,85;1,3
335;NAMOUNOU;"00°25'3""E";"11°00'3""";48,75;3
336;KOUAMPANTE;"00°24'3""E";"11°01'4""";36,25;1,2
337;TANKPAGLI;"00°26'0""E";"10°59'1""";34;6,5
338;TANKPAGLI;"00°26'0""E";"10°59'0""";36,68;3,3
339;KPENDJAGA;"00°24'5""E";"10°59'1""";42,68;4,8
340;SANKARGBONGBONGUE;"00°24'4""E";"10°59'2""";46,32;0,7
341;KPEMBONLE;"00°24'1""E";"10°57'4""";30,6;9
342;KPEMBOLE;"00°23'4""E";"10°58'1""";42,6;12
343;MONDOFOALI;"00°47'2""E";"10°51'3""";79,49;3
344;DJAMBENGOU;"00°21'4""E";"10°43'1""";38,7;0,8
345;TOLONKARGA  I;"00°27'1""E";"10°57'5""";45,02;4
346;EGABONGA;"00°29'2""E";"10°56'4""";;
347;GBANGA;"00°30'1""E";"10°56'5""";;
348;DJABDJOARE  I;"00°37'5""E";"10°56'3""";;
349;BIAGOU;"00°21'2""E";"10°41'3""";61,23;
350;YANYANE-DAKALFAM;"00°35'2""E";"10°47'5""";;
351;YANYANE-DAKALFAM;"00°35'1""E";"10°47'0""";;
352;KOMPIT-BONG;"00°23'0""E";"10°55'3""";35;
353;TANGBAMONTE;"00°23'4""E";"10°56'0""";35;1,8
354;NADOUNGOU I;"00°25'3""E";"10°56'3""";31,55;
355;BOULDJOARE;"00°40'1""E";"10°50'0""";;
356;SAWAGA;"00°23'4""E";"10°44'3""";79,65;0
357;SAWAGA;"00°23'3""E";"10°44'2""";79,75;0
358;NALOUATE;"00°22'3""E";"10°54'2""";40,41;1,45
359;NAYEGA;"00°24'3""E";"10°45'0""";71,95;0
360;SAWAGA;"00°23'3""E";"10°44'1""";71,85;0
361;DJANTCHOGOU;"00°47'3""E";"10°56'3""";60;1
362;SANLOAGA;"00°46'5""E";"10°58'1""";47;1,5
363;YIAGOU;"00°39'1""E";"10°43'1""";55;3
364;KOUNDJOARE;"00°36'3""E";"10°52'3""";43;0,5
365;SAWAGA;"00°23'5""E";"10°44'1""";80,95;0
366;NATARE;"00°25'2""E";"10°48'5""";;
367;NATATING;"00°26'0""E";"10°49'2""";;
368;GANLORE II;"00°19'2""E";"10°44'1""";59,11;0,8
369;TANTCHIAGOU;"00°21'3""E";"10°43'3""";37,1;1,422
